Year,Scientific Name,Country,Conservation Status,Kilotons of Co2,Metric Tons Per Capita,Population,GDP,Fossils,Renewables
2014,Crocodylus niloticus,South Africa,Least Concern,447929.99,8.18,54729556.0,648455192576.0,218.42,3.38
2012,Crocodylus porosus,India,Least Concern,1909439.94,1.5,1274487168.0,5949387964416.0,893.45,165.25
2015,Crocodylus rhombifer,Cuba,Critically Endangered,29210.0,2.58,11339888.0,88467243008.0,17.37,1.85
2011,Crocodylus siamensis,Cambodia,Critically Endangered,5360.0,0.37,14573894.0,36605583360.0,0.81,0.18
2012,Mecistops leptorhynchus,Cameroon,Endangered,6880.0,0.33,21032684.0,56362106880.0,1.09,4.21
2008,Crocodylus novaeguineae,Indonesia,Least Concern,376140.01,1.58,237936544.0,1793465253888.0,129.55,26.34
2010,Crocodylus rhombifer,Cuba,Critically Endangered,28110.0,2.49,11290420.0,74083581952.0,14.66,1.73
2018,Crocodylus mindorensis,Philippines,Critically Endangered,138570.01,1.28,108568832.0,912443441152.0,76.05,23.73
2017,Crocodylus intermedius,Venezuela,Critically Endangered,140820.01,4.61,30563430.0,384942604288.0,40.6,60.61
2016,Crocodylus siamensis,Cambodia,Critically Endangered,11070.0,0.71,15624586.0,51749834752.0,2.62,2.81
2013,Crocodylus mindorensis,Philippines,Critically Endangered,95500.0,0.96,99700112.0,669825564672.0,55.06,20.18
2006,Crocodylus palustris,Sri Lanka,Vulnerable,12400.0,0.63,19870706.0,136077287424.0,4.55,3.86
2009,Crocodylus suchus,Chad,Least Concern,790.0,0.07,11496138.0,17078455296.0,0.17,0.01
2017,Crocodylus siamensis,Thailand,Critically Endangered,258820.01,3.65,70898208.0,1079232954368.0,161.88,19.92
2011,Crocodylus acutus,Colombia,Vulnerable,69100.0,1.53,45308896.0,524200738816.0,10.11,48.81
2011,Crocodylus palustris,Pakistan,Vulnerable,141700.0,0.71,198602736.0,845085933568.0,61.62,29.37
2008,Crocodylus niloticus,Kenya,Least Concern,9910.0,0.25,39186896.0,92973744128.0,2.22,4.18
2014,Crocodylus novaeguineae,Indonesia,Least Concern,483910.0,1.89,256229760.0,2526852677632.0,203.11,34.41
2016,Mecistops cataphractus,Guinea,Critically Endangered,2820.0,0.24,11930991.0,15905507328.0,0.51,1.1
2016,Mecistops cataphractus,Ghana,Critically Endangered,16070.0,0.54,29554298.0,103444160512.0,5.84,5.56
2011,Crocodylus porosus,Philippines,Least Concern,82630.0,0.86,96337912.0,586460954624.0,49.04,20.09
2015,Crocodylus johnstoni,Australia,Least Concern,377799.99,15.86,23820240.0,1145386827776.0,197.72,33.12
2012,Crocodylus mindorensis,Philippines,Critically Endangered,86180.0,0.88,98032320.0,625662230528.0,51.82,21.06
2012,Crocodylus siamensis,Vietnam,Critically Endangered,155520.0,1.74,89301328.0,456298921984.0,61.73,53.42
2018,Mecistops cataphractus,Liberia,Critically Endangered,1130.0,0.23,4889396.0,3936415744.0,0.32,0.0
2016,Crocodylus johnstoni,Australia,Least Concern,384989.99,15.91,24195706.0,1176481300480.0,207.66,38.41
2018,Crocodylus moreletii,Mexico,Least Concern,452570.01,3.65,124013864.0,2006599729152.0,259.92,58.78
2017,Crocodylus palustris,Sri Lanka,Vulnerable,23360.0,1.09,21506816.0,245345992704.0,10.1,4.59
